no,group,title,slug,category,description,body_file,eyecatch_file
1,"investment-reading","決算短信の読み方｜最初に見るべき5つのポイントをFIC流に整理","kessan-tanshin-reading-guide","投資の読み方","決算短信を読むときに最初に確認したい売上、営業利益、会社予想、進捗率、セグメント情報の見方を、企業分析の入口として整理します。","bodies/investment-reading/kessan-tanshin-reading-guide.html","eyecatch/investment-reading/kessan-tanshin-reading-guide.png"
2,"investment-reading","営業利益率とは何か｜売上が伸びても利益が増えない理由を読む","operating-margin-guide","投資の読み方","営業利益率の基本、売上高との違い、価格転嫁・固定費・製品ミックスが利益率に与える影響を、企業分析の入口として整理します。","bodies/investment-reading/operating-margin-guide.html","eyecatch/investment-reading/operating-margin-guide.png"
3,"investment-reading","受注残と在庫の見方｜業績の先行指標として何を確認するか","orders-backlog-inventory-guide","投資の読み方","受注残と在庫を企業分析でどう読むか、製造業・建設・半導体・小売などで意味が変わるポイントを初心者向けに整理します。","bodies/investment-reading/orders-backlog-inventory-guide.html","eyecatch/investment-reading/orders-backlog-inventory-guide.png"
4,"investment-reading","ROEとROICの違い｜自己資本の効率と事業の稼ぐ力を分けて読む","roe-roic-guide","投資の読み方","ROEとROICの違い、どちらをいつ見るべきか、自己資本・負債・事業利益の関係を、企業分析の入口として整理します。","bodies/investment-reading/roe-roic-guide.html","eyecatch/investment-reading/roe-roic-guide.png"
5,"investment-reading","セグメント情報の読み方｜どの事業が売上と利益を動かしたかを見る","segment-information-guide","投資の読み方","セグメント情報を読むときに確認したい売上、利益率、構成比、成長事業、低採算事業の見方を、企業分析の入口として整理します。","bodies/investment-reading/segment-information-guide.html","eyecatch/investment-reading/segment-information-guide.png"
6,"theme-reading","金利上昇で見る企業影響｜銀行・不動産・リース・成長株のどこに効くか","interest-rate-impact-stocks","テーマの読み方","金利上昇が銀行、不動産、リース、保険、成長株、設備投資企業に与える影響を、売上・利益・財務・バリュエーションの観点から整理します。","bodies/theme-reading/interest-rate-impact-stocks.html","eyecatch/theme-reading/interest-rate-impact-stocks.png"
7,"theme-reading","為替で業績が動く企業の見方｜円安・円高が売上と利益にどう効くか","fx-impact-company-earnings","テーマの読み方","為替変動が輸出企業、輸入企業、海外売上企業、原材料輸入企業に与える影響を、売上・利益率・会社前提・為替感応度の観点から整理します。","bodies/theme-reading/fx-impact-company-earnings.html","eyecatch/theme-reading/fx-impact-company-earnings.png"
8,"theme-reading","原材料高と価格転嫁｜コスト増を利益に反映できる企業を読む","raw-material-cost-pass-through","テーマの読み方","原材料高が食品、化学、紙、建材、金属加工、小売などに与える影響を、価格転嫁、粗利率、在庫、販売数量の観点から整理します。","bodies/theme-reading/raw-material-cost-pass-through.html","eyecatch/theme-reading/raw-material-cost-pass-through.png"
9,"theme-reading","半導体投資の波及先｜装置・部材・電力・建設へどう広がるか","semiconductor-investment-supply-chain","テーマの読み方","半導体投資やAIデータセンター投資が、半導体メーカーだけでなく、装置、材料、電力、建設、空調、物流、不動産へどう波及するかを整理します。","bodies/theme-reading/semiconductor-investment-supply-chain.html","eyecatch/theme-reading/semiconductor-investment-supply-chain.png"
10,"theme-reading","政策・補助金テーマの読み方｜国策ニュースを企業業績へどうつなげるか","policy-subsidy-investment-theme","テーマの読み方","政策、補助金、規制、公共投資などのニュースを、関連企業の受注、売上、利益へどうつなげて読むかを整理します。","bodies/theme-reading/policy-subsidy-investment-theme.html","eyecatch/theme-reading/policy-subsidy-investment-theme.png"
11,"theme-reading","物流改革と2024年問題｜物流費・値上げ・省力化へどう広がるか","logistics-reform-2024-problem","テーマの読み方","物流改革や2024年問題が、運輸、倉庫、小売、製造、外食、EC、物流自動化企業の運賃、外注費、配送単価、受注、利益率にどう影響するかを整理します。","bodies/theme-reading/logistics-reform-2024-problem.html","eyecatch/theme-reading/logistics-reform-2024-problem.png"
12,"investment-reading","キャッシュフロー計算書の見方｜利益と現金のズレを読む","cash-flow-guide","投資の読み方","キャッシュフロー計算書で確認したい営業CF、投資CF、財務CF、フリーキャッシュフローの見方を、企業分析の入口として整理します。","bodies/investment-reading/cash-flow-guide.html","eyecatch/investment-reading/cash-flow-guide.png"
